fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	feature_fraction_bynode	max_depth	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	bagging_freq	num_iterations	estimulos	ganancia	iteracion_bayesiana
20231121 052948	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0884086462029673	0.890529925134075	937	37115	0.653712650388243	49	0.924619402717805	0.679121938582026	0.86122887819468	28	100	10674	158710065.967016	63
20231121 053319	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0974644627754353	0.234049105689859	928	523	0.875755873560827	35	0.284216627927208	0.847133656300398	0.75259492054775	20	100	12437	155077191.904048	64
20231121 053445	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.256910455660069	0.770378725253971	600	29520	0.785152398532431	13	0.936287185283454	0.831520486687138	0.86808858659708	28	89	13144	159498466.766617	65
20231121 053631	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0926167146130233	0.634287695867718	918	9081	0.718339130606038	22	0.995384489595859	0.823172272411301	0.862780274306144	11	100	11771	160169196.901549	66
20231121 053813	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.1074090612658	0.25528112846327	171	27175	0.944325990537071	36	0.513242188092767	0.966734731190808	0.626675323642521	27	99	11965	158816374.312844	67
20231121 053901	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.130418220304186	0.0239805894694937	339	31489	0.708367595365366	27	0.994160449916535	0.90933199184763	0.896445019569598	10	100	12672	156818778.610695	68
20231121 054038	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.143450473940754	0.228131819300487	360	26508	0.75436841330974	11	0.600308075480906	0.983073298372552	0.500903659212554	24	99	12801	155821885.557221	69
20231121 054149	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0925415778955188	0.995284067267687	600	5280	0.465821174367363	36	0.26398297382082	0.438068049381583	0.48087102430897	1	100	13106	160357490.254873	70
20231121 054321	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0342439986435604	0.860729523274436	644	29064	0.461062656719734	12	0.998926613112782	0.432520937596766	0.922508816392047	18	99	14426	151156670.664668	71
20231121 054535	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.26624917374494	0.396302768628187	1008	31366	0.503105091138754	45	0.832061809572047	0.97887233393733	0.849309062099727	27	99	12803	154608825.087456	72
20231121 054700	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.233977311630143	0.905823966776818	358	35444	0.843291181445634	50	0.819763226294818	0.752591360858868	0.887941900032207	30	98	11972	157389763.118441	73
20231121 054848	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.181473616226088	0.295551013831416	764	49575	0.924220509934755	32	0.581707792831837	0.173819981908107	0.619454344154642	29	98	10766	154246115.942029	74
20231121 055024	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0812317939212182	0.826399198975749	894	10315	0.798348878622557	37	0.863724328058197	0.858444236395603	0.754672002108919	30	100	11508	162633725.137431	75
20231121 055228	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.125654695657734	0.324589250769029	164	14845	0.76415412639155	11	0.992163605428355	0.878188370793593	0.750135152711967	30	100	11827	161705712.643678	76
20231121 055333	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.126590941367599	0.989103065729632	580	12180	0.986745191658862	30	0.520721146282182	0.758585009308296	0.501732698023413	7	100	10611	159788867.066467	77
20231121 055549	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.114757327628415	0.409354438818549	38	7728	0.847985144655734	15	0.356616932816763	0.817315066487956	0.61156457297626	2	100	12500	163178500.749625	78
20231121 055718	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0747848680372147	0.92361068875045	114	11513	0.698904067930055	15	0.40674032074643	0.911503867882107	0.732072684577106	3	100	12067	159987651.674163	79
20231121 055842	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0852484955598844	0.966410371972964	190	4524	0.751953601554092	15	0.487310755141495	0.958065914562325	0.591455534629873	11	100	10954	161203759.12044	80
20231121 060004	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.119325459037374	0.747859298099745	262	6406	0.959459972969988	30	0.177636649652441	0.28016047352365	0.591038181178942	5	66	11589	159509083.958021	81
20231121 060111	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.147669291994652	0.613256171284931	213	8809	0.40094596110571	10	0.203719656794192	0.697252093423146	0.522251927756565	1	96	13698	157996898.550725	82
20231121 060257	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0902790457673835	0.249088925929677	33	11028	0.691093274007106	25	0.619823248609135	0.782885091302487	0.643701448187032	13	22	11299	146478414.292854	83
